126,Albert "Einstein" Tumenov,19-5-0,https://images.tapology.com/headshot_images/40125/icon/Albert-Tumenov-hs.jpg?1386796025
128,Tomasz "Żyrafa" Narkun,16-2-0,https://images.tapology.com/headshot_images/18008/icon/Tomasz_Narkun.jpg?1543513464
127,Mirko "Cro Cop" Filipović,37-11-2 / 1 NC,https://images.tapology.com/headshot_images/330/icon/Mikro-Filipovic-hs.jpg?1422471242
130,Matt Mitrione,13-6-0,https://images.tapology.com/headshot_images/927/icon/Matt-Mitrione-hs.jpg?1425085363
129,Justin "Big Pretty" Willis,8-1-0,https://images.tapology.com/headshot_images/28235/icon/Justin_Willis-hs.jpg?1500065188
131,Aung "The Burmese Python" La Nsang,24-10-0 / 1 NC,https://images.tapology.com/headshot_images/4475/icon/Aung_La_Nsang-hs.png?1530294027
132,Elizeu "Capoeira" Zaleski,20-5-0,https://images.tapology.com/headshot_images/28131/icon/Elizeu_Zaleski-hs.jpg?1526164325
134,Bruno "Blindado" Silva,19-6-0,https://images.tapology.com/headshot_images/59819/icon/blindado2.jpg?1534006000
133,Elias "The Spartan" Theodorou,16-2-0,https://images.tapology.com/headshot_images/23158/icon/Elias-Theodorou-hs.jpg?1397702121
135,Mukhamad Vakhaev,7-4-1,https://images.tapology.com/headshot_images/62159/icon/mukhomad_vakhaev_headshot_new.jpg?1448770295
136,Glover Teixeira,28-7-0,https://images.tapology.com/headshot_images/593/icon/Glover-Teixiera-hs.jpg?1427728019
137,Misha Cirkunov,14-4-0,https://images.tapology.com/headshot_images/14031/icon/Misha_Cirkunov-hs.jpg?1489418624
138,Askar "Bullet" Askarov,10-0-0,https://images.tapology.com/headshot_images/99919/icon/askar_askarov_new_headshot.jpg?1463778788
139,Eduard "Landslide" Folayang,21-6-0,https://images.tapology.com/headshot_images/16123/icon/Eduard_Folayang.jpg?1509333582
142,Ali "Hulk" Bagov,27-10-0,https://images.tapology.com/headshot_images/13821/icon/ali_bagov_headshot.JPG?1441822060
141,Sergey Pavlovich,12-1-0,https://images.tapology.com/headshot_images/89112/icon/Sergey_Pavlovich-hs.jpg?1539891382
140,Calvin "The Boston Finisher" Kattar,19-3-0,https://images.tapology.com/headshot_images/1425/icon/Calvin_Kattar-hs.jpg?1516260048
143,Alexander "The Great" Hernandez,10-2-0,https://images.tapology.com/headshot_images/46253/icon/Alexander_Hernandez-hs.jpg?1525795578
145,Aaron Pico,4-1-0,https://images.tapology.com/headshot_images/86018/icon/Aaron_Pico-hs.jpg?1548105276
